"","Basin","Year","Transect","Interval","NperHa","STRATUM","name","area_km2","geometry"
"237","WB",2008,2,32,1203.757421,"1","Detroit R.",929,c(-82.9059578, 41.94735171)
"238","WB",2008,2,33,961.8759854,"1","Detroit R.",929,c(-82.90661189, 41.95623265)
"239","WB",2008,2,34,545.7748905,"1","Detroit R.",929,c(-82.90675621, 41.96493024)
"339","WB",2011,1,14,868.5480319,"1","Detroit R.",929,c(-83.1842144, 41.79085293)
"340","WB",2011,1,15,1145.29501,"1","Detroit R.",929,c(-83.17792703, 41.7985228)
"341","WB",2011,1,16,513.5700279,"1","Detroit R.",929,c(-83.17162716, 41.80622938)
"342","WB",2011,1,17,784.8956903,"1","Detroit R.",929,c(-83.165045, 41.81376483)
"343","WB",2011,1,18,2238.077316,"1","Detroit R.",929,c(-83.15854133, 41.821168)
"344","WB",2011,1,19,8609.63719,"1","Detroit R.",929,c(-83.15143284, 41.82851027)
"345","WB",2011,1,20,6380.185368,"1","Detroit R.",929,c(-83.14489054, 41.83604307)
"346","WB",2011,1,21,2713.378403,"1","Detroit R.",929,c(-83.13821333, 41.8434415)
"347","WB",2011,1,22,1168.543554,"1","Detroit R.",929,c(-83.13160048, 41.85102263)
"348","WB",2011,1,23,584.3246647,"1","Detroit R.",929,c(-83.12537784, 41.85875892)
"349","WB",2011,1,24,553.1941547,"1","Detroit R.",929,c(-83.11917202, 41.86644203)
"350","WB",2011,1,25,313.8101418,"1","Detroit R.",929,c(-83.11207886, 41.87371998)
"351","WB",2011,1,26,445.9730794,"1","Detroit R.",929,c(-83.10540566, 41.88113902)
"352","WB",2011,1,27,632.3551789,"1","Detroit R.",929,c(-83.09896468, 41.88878409)
"353","WB",2011,1,28,709.3756202,"1","Detroit R.",929,c(-83.09207813, 41.89618252)
"354","WB",2011,1,29,405.3066698,"1","Detroit R.",929,c(-83.08555667, 41.90371817)
"355","WB",2011,1,30,413.2442162,"1","Detroit R.",929,c(-83.07893896, 41.91127971)
