year,Agency,SITE,SAM,trldate,secchi,secchi2,trldist,knots,grdepn,sitem_n,xo2surfn,btemn,xo2botn,sidepn,grtemn,xgro2n,sidep2n,sitem2n,xo2surf2n,btem2n,xobot2n,grtem2n,xgro22n,ha,month,day,TL_MODE,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total,ID,strata,AREA,PERIMETER
2015,ON,24,119,8/27/2015,2.2,2.8,0.51,3.1,7,21354,9.76,21.58,9.42,9.2,21.59,9.59,9.4,21.68,10.04,21.64,9.51,21.6,9.64,0.283,8,27,MIDDLE,0,0,13149.54,0,0,0,13149.54,0,Detroit R.,1066406006,353171.391
2015,ON,24,120,8/27/2015,2.2,2.8,0.51,3.1,8,21.54,9.76,21.58,9.42,9.3,21.58,9.56,9.4,21.68,10.04,21.64,9.51,21.6,9.59,0.283,8,27,MIDDLE,0,14.12,536.43,0,3.53,0,554.07,0,Detroit R.,1066406006,353171.391
2015,ON,24,121,8/27/2015,2.2,2.8,0.52,3.1,9.2,21.54,9.76,21.58,9.42,9.2,21.58,9.42,9.3,21.68,10.04,21.64,9.51,21.6,9.51,0.289,8,27,BOTTOM,0,10.38,197.29,6.92,6.92,2948.99,3170.52,0,Detroit R.,1066406006,353171.391
2016,ON,1,115,9/1/2016,1.7,1.6,0.46,2.7,3,24.19,8.89,24.42,8.84,6.4,24.4,8.91,6.4,24.17,8.7,24.35,8.52,24.2,8.69,0.256,9,1,TOP,0,0,93.91,0,0,0,93.91,0,Detroit R.,1066406006,353171.391
2016,ON,1,116,9/1/2016,1.6,1.5,0.48,2.7,8,24.17,8.7,24.35,8.52,7.4,24.35,8.52,6.5,24.11,8.39,24.3,8.21,24.3,8.21,0.267,9,1,BOTTOM,0,0,15,3.75,3.75,7.5,30,0,Detroit R.,1066406006,353171.391
2016,ON,24,117,9/1/2016,1.5,1.6,0.47,2.9,3,23.8,7.97,24.29,7.44,9,24.2,7.73,9.1,24.14,7.14,24.38,6.72,24.2,7.03,0.261,9,1,TOP,0,0,0,0,0,0,0,0,Detroit R.,1066406006,353171.391
2016,ON,24,118,9/1/2016,1.6,NA,0.47,2.9,6,24.14,7.14,24.38,6.72,9.1,24.3,6.95,NA,24.04,6.98,24.25,6.65,24.2,6.77,0.261,9,1,MIDDLE,0,0,0,0,0,0,0,0,Detroit R.,1066406006,353171.391
2016,ON,24,119,9/1/2016,2.4,2.5,0.44,2.7,9,24.04,6.98,24.25,6.65,8.9,24.25,6.65,9.1,24.05,6.68,24.27,6.38,24.2,6.38,0.244,9,1,BOTTOM,0,0,0,4.09,155.44,2761.14,2920.68,0,Detroit R.,1066406006,353171.391
2017,ON,8,111,8/30/2017,2.5,2.5,0.47,2.9,10.6,23.09,9.11,22.52,8.94,10.6,22.52,8.94,10.7,22.7,9.36,22.46,8.95,22.4,8.95,0.261,8,30,BOTTOM,0,19.15,3.83,179.99,352.31,5246.39,5801.66,0,Detroit R.,1066406006,353171.391
2017,ON,8,113,8/30/2017,3.1,2.8,0.42,2,4,23.1,9.45,22.49,9.06,10.7,22.6,9.23,10.6,23.1,9.3,22.5,9.1,22.1,9.3,0.233,8,30,TOP,0,0,0,0,4.29,0,4.29,0,Detroit R.,1066406006,353171.391
