RSYOY,RSYAO,ES,YPYOY,OTHER,LONG,Sdepth,Fdepth,Year,EW,depthcat,Layer
0.0301,0.0039,0.9228,0.0432,0,-81.811,14.5,6,2010,0,0,0
0.6937,0.0037,0.1033,0.1808,0.0185,-81.81,19.3,14,2012,0,0,1
0.7912,0,0,0.044,0.1648,-81.809,21,7.3,2017,0,1,0
0.1477,0.0114,0.1364,0.6591,0.0454,-81.808,17.5,8,2012,0,0,0
0.0102,0,0.9852,0.0006,0.004,-81.807,20,7,2011,0,1,0
0.7143,0.0053,0,0.0106,0.2698,-81.807,20.4,5,2017,0,1,0
0.9638,0.0173,0,0,0.0189,-81.807,20.5,18,2015,0,1,1
0.3934,0.4262,0,0.0164,0.164,-81.807,20.5,12,2017,0,1,0
0.4779,0,0,0.4956,0.0265,-81.807,21.4,7,2019,0,1,0
0,0.9999,0,0,1.00E-04,-81.806,20.3,15,2016,0,1,0
0,0,0,0.1282,0.8718,-81.806,20.8,16,2018,0,1,1
0.0276,0,0.8346,0.0984,0.0394,-81.805,20.2,12,2013,0,1,0
0.4286,0,0.0714,0.4286,0.0714,-81.804,20.3,15,2013,0,1,0
0.0072,0.0036,0.9855,0,0.0037,-81.804,20.7,8,2011,0,1,0
0,0,0,0.0533,0.9467,-81.804,20.9,5,2018,0,1,0
0.0851,0,0.6596,0,0.2553,-81.803,20.4,9,2013,0,1,0
0.9914,0,0.0043,0,0.0043,-81.803,20.5,6,2015,0,1,0
0.9834,0.0055,0.0018,0.0055,0.0038,-81.803,20.7,15,2015,0,1,1
0.04,0,0.64,0.0533,0.2667,-81.802,19.8,12,2012,0,1,1
0,0,0,0.4063,0.5937,-81.796,20.9,12,2018,0,1,0
0.8503,0.0321,0,0.0642,0.0534,-81.765,23.6,17,2016,0,1,1
0.0379,0.9431,0,0.0047,0.0143,-81.755,23,20,2016,0,1,1
0.984,0,0,0.016,0,-81.754,24.9,10,2019,0,1,0
0.5,0.3571,0.0536,0.0893,0,-81.752,23.9,18,2013,0,1,1
0,0.9761,0.0222,0.0006,0.0011,-81.749,24.2,18,2010,0,1,1
0.863,0,0,0.1096,0.0274,-81.749,25.1,5,2019,0,1,0
0.8364,0.0091,0.1,0.0273,0.0272,-81.747,24.2,15,2010,0,1,0
0.0526,0.9441,0,0.0033,0,-81.747,24.2,13,2015,0,1,0
0.97,0.0129,0,0.0172,-1.00E-04,-81.747,24.9,19,2019,0,1,1
0.5882,0,0.1176,0.0588,0.2354,-81.746,23.8,13,2012,0,1,1
0.9262,0,0,0.0574,0.0164,-81.746,23.9,13,2016,0,1,0
0.4359,0.0256,0,0,0.5385,-81.745,24.3,14,2017,0,1,1
0.1782,0,0.0073,0,0.8145,-81.745,24.3,5,2017,0,1,0
0.4464,0,0,0.1964,0.3572,-81.745,24.6,16,2018,0,1,1
0.0455,0.9507,0,0,0.0038,-81.744,24.2,22,2015,0,1,1
0.1287,0,0,0.7822,0.0891,-81.744,24.7,.,2018,0,1,.
