"","Year","mu","se","rse","Reps","EDSUs","perc_er","perc","Year_labs"
"284",3,5290.68872621308,1837.30236452497,34.9690043775333,100,13,1.3426854289605,0.119266055045872,2008
"285",3,5221.87938838192,1799.3482836817,35.0502393445376,100,12,0.0246485080113275,0.110091743119266,2008
"286",3,5138.43142186809,1815.10215211912,35.6495943360251,100,11,1.57379008055976,0.100917431192661,2008
"287",3,5108.7819297016,1985.5832607925,38.665466171329,100,10,2.14172354125833,0.0917431192660551,2008
"288",3,5670.69644448156,2210.93366165428,39.7057638536363,100,9,8.62170043928498,0.0825688073394495,2008
"289",3,5280.38832131325,2150.02021365191,40.8943973853429,100,8,1.14538206307127,0.073394495412844,2008
"290",3,5207.55503154029,2266.41259283789,43.867178680253,100,7,0.249733309649029,0.0642201834862385,2008
"291",3,5162.88678384117,2328.641832902,43.9350594898391,100,6,1.10534973493717,0.055045871559633,2008
"292",3,5390.0036878304,2582.96843880396,46.3054357352058,100,5,3.24505493781229,0.0458715596330275,2008
"293",3,5187.25625481025,2731.45923652229,47.8818646520398,100,4,0.638554624074991,0.036697247706422,2008
"294",3,4859.99571686333,2811.33987532825,49.5108368442399,100,3,6.90720195275758,0.0275229357798165,2008
"295",3,5252.596907612,3175.429893619,53.647545904415,100,2,0.613039934834243,0.018348623853211,2008
"296",3,4656.250396745,NA,NA,100,1,10.809925955792,0.00917431192660551,2008
"297",4,3205.17424405172,263.618337022565,8.22477397326518,100,29,0,1,2009
"298",4,3200.17505924318,268.197261004944,8.38257973558448,100,28,0.155972325617655,0.96551724137931,2009
"299",4,3215.95290379752,272.958640018924,8.49280040469451,100,27,0.336289353560037,0.931034482758621,2009
"300",4,3203.01464975427,276.221396977157,8.63105497693186,100,26,0.0673783742479161,0.896551724137931,2009
"301",4,3206.55879278208,285.683990351508,8.91786256595487,100,25,0.0431972998948674,0.862068965517241,2009
"302",4,3211.16452830825,291.207618959539,9.08104767056704,100,24,0.186894184228601,0.827586206896552,2009
"303",4,3180.648741894,294.868137984188,9.28953273003211,100,23,0.765184676098012,0.793103448275862,2009
"304",4,3221.71418096536,303.701786020998,9.45080063026503,100,22,0.516038619252441,0.758620689655172,2009
"305",4,3207.80969612957,307.351646418087,9.60971089470119,100,21,0.0822249237381787,0.724137931034483,2009
"306",4,3204.939437894,314.758043596035,9.84453311454526,100,20,0.00732584689146972,0.689655172413793,2009
"307",4,3222.71266904768,327.754025441687,10.2217236618791,100,19,0.547190999943564,0.655172413793103,2009
