Lat_M,Lon_M,Date_M,Time_M,LAYER,TRANSECT,FishDensity,Targets_Binned,BottomDepth,N_YAOSized,YAO_FishDens,Stratum,ScaleDensity
42.31531834,-80.25132125,###############################################################################################################################################################################################################################################################,4:03:44,LO,T1A,1772.52449,131,23.067644,45,608.8824585,1,-172.587518
42.31583036,-80.01212123,###############################################################################################################################################################################################################################################################,8:04:45,LO,T21A,3891.450087,422,30.13791,339,3126.070093,2.1,330.850009
42.31770341,-80.08265228,###############################################################################################################################################################################################################################################################,3:16:53,LO,T1B,523.1075608,109,27.510343,48,230.3592928,1,-248.2921512
42.31770341,-80.08265228,###############################################################################################################################################################################################################################################################,3:16:53,LO,T1B,523.1075608,109,27.510343,48,230.3592928,1,-248.2921512
42.32231956,-80.25360748,###############################################################################################################################################################################################################################################################,3:59:13,LO,T1A,2417.954436,156,24.188198,50,774.9853962,1,-139.3669305
42.3228167,-80.01441668,###############################################################################################################################################################################################################################################################,8:09:19,LO,T21A,7309.450494,503,31.00428,462,6713.650355,2.1,1048.366061
42.32457026,-80.08536786,###############################################################################################################################################################################################################################################################,3:12:19,LO,T1B,812.6735958,97,28.454587,24,201.0738794,1,-254.1492338
42.32457026,-80.08536786,###############################################################################################################################################################################################################################################################,3:12:19,LO,T1B,812.6735958,97,28.454587,24,201.0738794,1,-254.1492338
42.32928433,-80.25591144,###############################################################################################################################################################################################################################################################,3:54:43,LO,T1A,2975.240728,249,24.839966,127,1517.492259,1,9.134442071
42.32973002,-80.01691556,###############################################################################################################################################################################################################################################################,8:13:52,LO,T21A,6774.94791,506,31.907399,455,6092.097429,2.1,924.0554761
42.33145,-80.08813333,###############################################################################################################################################################################################################################################################,3:07:47,LO,T1B,301.6953616,85,29.463432,43,152.6223594,1,-263.8395378
42.33145,-80.08813333,###############################################################################################################################################################################################################################################################,3:07:47,LO,T1B,301.6953616,85,29.463432,43,152.6223594,1,-263.8395378
42.33625,-80.25811667,###############################################################################################################################################################################################################################################################,3:50:15,LO,T1A,4000.583434,325,25.30093,187,2301.874161,1,166.0108224
