year,Agency,grid,Latitude,Longitude,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total
2014,ON,102,41.8148,-82.5385,10.7,22.3,23.1,3.4,8.9,9.2,0,0,0,0,108,1018,1125
2018,ON,45,41.824,-82.7935,10.7,24.7,25.5,2.5,6.9,6.8,0,57,0,0,373,6339,6769
2017,ON,45,41.8263,-82.7962,10.7,23.8,24.1,2.5,8,8.3,0,0,0,44,96,5211,5350
2018,ON,44,41.8343,-82.807,10.7,24.6,25.4,2.5,5.5,6.5,0,200,0,0,338,10504,11042
2011,ON,44,41.8357,-82.8092,10.7,24.3,24.8,1.3,6.9,,0,7,3,0,35,545,590
2014,ON,42,41.9378,-82.7942,10.7,22.5,22.6,1.8,10.7,10.9,0,23,910,4,184,2666,3788
2012,ON,42,41.939,-82.7947,10.7,24.2,24.2,1.7,8.3,8.6,0,272,0,57,44,1301,1674
2018,ON,92,41.94,-82.5508,10.7,16.9,24.8,2,4.1,3.7,0,11,0,0,4,37,52
2006,ON,92,41.9408,-82.552,10.7,24.1,24.2,2,7.1,,0,44,68,0,303,108,522
2012,ON,67,41.9465,-82.6978,10.7,24.2,24.2,1.8,8.3,8.3,0,70,0,45,56,2552,2722
2008,ON,67,41.9475,-82.695,10.7,22.4,22.7,3.9,7.2,,0,0,0,0,21,74,95
2007,ON,67,41.9485,-82.6942,10.7,25.1,25.1,2,8.1,,0,43,13,26,108,9448,9637
2013,ON,66,41.9725,-82.6958,10.7,22.5,22.5,2.3,8.5,8.1,0,0,0,0,28,131,159
2015,ON,66,41.9737,-82.6947,10.7,23.6,23.6,2.3,8.2,8.2,0,8,0,0,58,1368,1433
2010,ON,64,41.701,-82.7178,10.6,23.4,24.1,1.8,5.2,,0,4,0,0,4,279,287
2011,ON,64,41.7013,-82.7188,10.6,22.9,24.6,1.6,5.9,,0,0,0,0,74,23,96
2012,ON,63,41.7225,-82.7377,10.6,24,24,1.6,8,7.9,0,24,153,7,7,1197,1388
2006,ON,63,41.7255,-82.7352,10.6,24.2,24.2,2.1,7.3,,0,12,0,0,823,7715,8551
2011,ON,102,41.8105,-82.5415,10.6,24,24.2,1.2,7.4,,0,0,72,0,18,731,821
2013,ON,33,41.821,-82.896,10.6,21.9,21.9,1.9,8.2,8.2,0,0,0,0,26,78,104
2015,ON,45,41.8232,-82.7943,10.6,23.9,24.3,3.2,7.7,7.7,0,12,0,0,58,9423,9492
