year,Agency,grid,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total,strata,DISCHARGE,AREA,PERIMETER
2016,OH,896,7.6,25.9,26.1,1.8,7.5,NA,0,0,0,28,19,1306,1354,1,Detroit R.,1066406006,353171.391
2010,ON,9,5.4,24.4,24.6,1.3,8.3,NA,0,4,0,43,125,1194,1366,1,Detroit R.,1066406006,353171.391
2018,OH,898,7.3,24.1,24.5,1.8,7.9,NA,0,0,189,0,5,1179,1373,1,Detroit R.,1066406006,353171.391
2011,OH,911,8.5,23.9,24.1,2.1,8,NA,0,0,0,0,245,1136,1380,1,Detroit R.,1066406006,353171.391
2014,ON,20,8.7,21.9,22,1.7,9.1,7.4,0,0,0,0,148,1231,1380,1,Detroit R.,1066406006,353171.391
2008,OH,879,7,23.1,24.9,0.4,9.2,NA,0,0,127,8,10,1243,1388,1,Detroit R.,1066406006,353171.391
2019,ON,10,7.3,23.9,24.7,2.2,8.3,8.3,0,0,0,4,131,1279,1414,1,Detroit R.,1066406006,353171.391
2018,OH,905,8.8,23.7,23.8,2.4,8.2,NA,0,9,0,0,15,1392,1417,1,Detroit R.,1066406006,353171.391
2009,ON,6,7.6,22.9,23.8,2,7.6,NA,0,0,0,0,1450,11,1461,1,Detroit R.,1066406006,353171.391
2011,ON,31,10.5,24.4,24.7,1.1,6.4,NA,0,4,390,36,24,1008,1462,1,Detroit R.,1066406006,353171.391
2017,OH,8,8.5,23.4,23.4,2.4,8.9,NA,0,0,0,15,195,1303,1513,1,Detroit R.,1066406006,353171.391
2019,OH,8,9.7,23.8,24.9,1.8,7.4,NA,0,9,0,4,122,1397,1532,1,Detroit R.,1066406006,353171.391
2016,ON,31,11.2,25.3,26,2,8.7,8.6,0,19,4,15,52,1450,1539,1,Detroit R.,1066406006,353171.391
2009,OH,8,8.5,25,25.4,2.1,7.4,NA,0,0,428,0,286,855,1569,1,Detroit R.,1066406006,353171.391
2015,OH,905,9.2,21.8,22.2,1.5,8.5,NA,0,128,6,4,120,1329,1588,1,Detroit R.,1066406006,353171.391
2009,OH,886,7,24.8,25.2,2.1,5.8,NA,0,1158,118,0,137,182,1594,1,Detroit R.,1066406006,353171.391
2016,ON,20,8.5,24.9,25,1.3,8.7,8.8,0,4,0,47,280,1276,1606,1,Detroit R.,1066406006,353171.391
2008,OH,898,6.7,24.1,24.6,1.3,9.1,NA,0,0,0,229,214,1170,1613,1,Detroit R.,1066406006,353171.391
2012,OH,905,8.2,22.7,23.8,4.9,5.5,NA,0,0,0,0,20,1603,1622,1,Detroit R.,1066406006,353171.391
